gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR	Chromosome	Gene_Start	Gene_End	Chromosome_type
ENSG00000070610.14	13	-0.0107367456269938	0.0202698712085404	-0.529689878960356	0.596326966366196	18.2855165585743	1.22377326256589	14.1168218212963	0.293310559843387	0.901534240282456	9	35736866	35749228	Autosomal
ENSG00000071189.21	11	-0.0163320151534126	0.0363266436445488	-0.449587782268551	0.653007699350205	67.3770769620452	3.06532924360138	31.1225895932169	0.000559987262509944	0.918853535016932	7	17790761	17940501	Autosomal
ENSG00000076641.4	10	-0.00501631760817137	0.0268511187543666	-0.186819687256256	0.851802010472412	0.0337999125793587	1.00033811340783	10.2250062004413	0.33257879176662	0.972912133496711	8	80967810	81112068	Autosomal
ENSG00000077254.14	12	0.00588745196051664	0.0245875214008381	0.239448778286207	0.810757610239904	43.0838183965389	1.75696958549867	18.9852057217626	0.0613595886566526	0.964013646475487	1	77695987	77759852	Autosomal
ENSG00000083814.13	11	-0.012163077011946	0.0369447687840869	-0.329223254394408	0.741986947316827	37.3539071590059	1.59626874502479	14.9331531516929	0.134518044994827	0.948206778750827	19	57719751	57727624	Autosomal
ENSG00000088053.11	4	-0.123562251409798	0.0700394414091346	-1.76418099464858	0.0777015114518421	22.4793670580639	1.28997914755032	3.68778634957528	0.297211028194554	0.450655241353417	19	55013705	55038264	Autosomal
ENSG00000088448.14	12	0.02279806815648	0.0266549234477718	0.855304206787577	0.39238275925429	23.3969198200891	1.30543053575834	14.1327189399264	0.225736415965488	0.812756575871335	13	110878540	110915069	Autosomal
ENSG00000089163.4	12	-0.0273879409504073	0.0301915516622069	-0.907139230763385	0.364333174505844	0.413600870979007	1.0041531863246	9.65701688579917	0.561476840517581	0.799815644766192	12	120302316	120313249	Autosomal
ENSG00000090061.17	10	0.0108661072501657	0.0281053096451079	0.386621154058593	0.699036694865259	22.2116782287432	1.28554001067228	12.2839446217429	0.197771068653629	0.932799968316429	14	99481169	99535044	Autosomal
ENSG00000095319.14	12	-0.0156716332420773	0.0218027461871092	-0.718791711263565	0.47226926549702	0.00807323938818461	1.00008073891213	10.5836784397641	0.478770693453618	0.850643139212308	9	128947699	129007096	Autosomal
ENSG00000096070.19	12	-0.0359807295752123	0.0216874852424661	-1.65905494219121	0.0971047215786469	0	1	8.86334028513533	0.634505064878506	0.487631037994376	6	36196744	36232790	Autosomal
ENSG00000096088.16	11	0.0980129716955296	0.059973557581709	1.63426976233643	0.102202219877026	0	1	6.09027480887166	0.807622549424242	0.49920028824371	6	41736711	41754109	Autosomal
ENSG00000099917.17	11	0.0320919810594025	0.0222510590900483	1.44226757609733	0.149226903423625	0	1	7.79415271108082	0.648935812075292	0.584511021403823	22	20495913	20587632	Autosomal
ENSG00000100084.14	12	0.0151861710166007	0.035803758586109	0.424150190267805	0.671456284027217	31.2289964253986	1.4541012171143	16.4556797059892	0.12503915574582	0.924755719914034	22	19330698	19447450	Autosomal
ENSG00000100104.13	12	-0.0283111684259622	0.0229668859779169	-1.23269512693989	0.217689530613056	0.0148869492951653	1.00014889165838	10.0451240799992	0.526332833478763	0.668722971114968	22	26483877	26494658	Autosomal
ENSG00000100815.12	11	0.020516997895209	0.0297315623365543	0.690074664188899	0.490147234988853	36.7632452120665	1.58135882107412	15.5134809418394	0.114432404988539	0.861031586224233	14	91965991	92040896	Autosomal
ENSG00000101200.5	4	0.0505273396924595	0.0800486586064414	0.631207824991506	0.527904646234859	0	1	2.06068063996826	0.559908200103187	0.876348890436544	20	3082556	3084724	Autosomal
ENSG00000101222.12	13	-0.00357975634159907	0.0300788872091178	-0.11901225988553	0.90526564283225	48.532208712297	1.94296272480402	22.4168319236759	0.0331051564943172	0.984339754786378	20	3777504	3781448	Autosomal
ENSG00000101405.3	6	-0.0460804525718149	0.0863566026635963	-0.533606593479855	0.593613745515734	42.5678828603705	1.74118602935844	8.42455879048006	0.134337640424445	0.900897745414906	20	3071620	3072517	Autosomal
ENSG00000102531.16	11	0.00580460727310977	0.0196570939332873	0.295293256104365	0.767769867805684	0	1	8.28791897264844	0.600735869176069	0.95427861543593	13	48975912	49209779	Autosomal
ENSG00000102543.14	11	0.0363342951257644	0.0348879264447127	1.04145757081161	0.297663235233395	42.644308144952	1.74350612407788	17.352459273421	0.0669197788080135	0.749305276973784	13	49247925	49293485	Autosomal
ENSG00000103365.15	12	-0.0324385967564894	0.0203517876928121	-1.59389421932434	0.11095972940198	0	1	6.85300117561976	0.810859727843903	0.515669733166737	16	23463542	23521995	Autosomal
ENSG00000104327.7	12	-0.0558015732003324	0.0165211711605185	-3.37757975255921	0.000731267442175609	0	1	8.66184279506234	0.653073656025466	0.0292975925931358	8	90058608	90095475	Autosomal
ENSG00000104904.12	13	-0.0101156138420616	0.0188792113262695	-0.535807013717048	0.592091934353816	0.196806255705335	1.00197194346515	12.5400887915066	0.403335030713617	0.900533876955475	19	2269509	2273490	Autosomal
ENSG00000104960.15	13	0.0298024920804551	0.0217269873136585	1.37168083408048	0.170162817394883	0	1	10.2032378117823	0.598135926820682	0.613933434027691	19	49850735	49860744	Autosomal
ENSG00000104983.8	10	0.0260894657514277	0.0475747353278174	0.548389088697104	0.583424766980968	60.0335704807375	2.50209991742703	22.8014064584783	0.00665807438098981	0.897405980196548	19	45995461	46021318	Autosomal
ENSG00000105245.9	13	0.0267359068675225	0.0228750664941169	1.16877941641824	0.242492515514538	31.8276734347111	1.46687087031172	17.422196393095	0.134393907292463	0.697126764344575	19	40665905	40690972	Autosomal
ENSG00000105366.15	10	-0.0270366225769375	0.0317567798534534	-0.851365368330863	0.394566423284476	34.3381621511116	1.52295463051363	12.7549229408723	0.174012902892262	0.813326324096125	19	51450847	51458456	Autosomal
ENSG00000105792.19	12	0.0383316778020826	0.0203442083474985	1.88415676576552	0.0595437736767911	0	1	4.53366527029308	0.951635898707751	0.40105820587312	7	90245174	90311063	Autosomal
ENSG00000105948.13	12	-0.013868331581656	0.0217178876222935	-0.638567241107746	0.523104497959981	0	1	9.45617437406957	0.579862305801694	0.875358259246333	7	139133744	139191986	Autosomal
ENSG00000106125.14	12	0.00592941075607179	0.0242100279263312	0.244915486017381	0.806521870691617	18.6942654940689	1.22992554716673	11.6082504741925	0.393797927888648	0.963452523568776	7	30771417	30892387	Autosomal
ENSG00000106344.8	13	0.00441911059798431	0.0224956076343386	0.196443264383698	0.844263235809581	14.625833316172	1.17131450747082	12.5722299110468	0.400883439171328	0.971156568319741	7	128297685	128343908	Autosomal
ENSG00000106399.11	11	-0.0379643888379531	0.0271173280129566	-1.4000047799626	0.161511887088958	34.4136552665756	1.52470762635804	15.3365191356757	0.120266132166022	0.602798109375204	7	7636518	7718607	Autosomal
ENSG00000106609.16	13	-0.00132271497242396	0.019673546667661	-0.0672331732944836	0.946396076392427	10.2651682845172	1.11439446743562	12.5120808627248	0.405477879115099	0.991433411478324	7	66921225	66958551	Autosomal
ENSG00000106631.8	10	-0.00779485820665253	0.059171701868471	-0.13173287163481	0.895195584280062	20.2962958843244	1.25464683366369	10.7858227203862	0.290675925334167	0.98169787605711	7	44138864	44141332	Autosomal
ENSG00000107731.12	12	-0.0170777738024761	0.0308107132059576	-0.55428037930566	0.579386976068394	39.9038933899561	1.66400130791979	18.3913412908645	0.0729331289361646	0.896017573212466	10	71212570	71302864	Autosomal
ENSG00000107816.17	11	-0.0038626295344922	0.022361776617665	-0.172733571242316	0.86286085437836	7.95583386722487	1.08643496053567	12.2995650153121	0.265507908223643	0.975579821059541	10	100996618	101007836	Autosomal
ENSG00000108561.8	11	0.0281729956291489	0.0206872833492975	1.3618509087664	0.173244941503511	0	1	7.95977533269295	0.632766151352474	0.617271942708642	17	5432777	5448830	Autosomal
ENSG00000108785.7	12	-0.0757331429851935	0.0315816517820224	-2.39801082944952	0.0164843778749609	18.9235668252052	1.23340403720533	13.1191203261843	0.28561114397397	0.207921566231053	17	42546764	42548706	Autosomal
ENSG00000109089.7	12	0.0214719049746935	0.0216349112534435	0.992465590598434	0.320970456766968	0	1	9.21949448990506	0.601639925071304	0.767471447761901	17	74987632	75005800	Autosomal
ENSG00000109255.11	4	0.0519920646428367	0.101882658776884	0.51031319036045	0.609832063241601	68.8212018966365	3.20730772457878	9.94986227184745	0.018997167819731	0.905777311168357	4	55595229	55636698	Autosomal
ENSG00000110848.8	5	0.0289814107780365	0.0670076994559774	0.432508667113346	0.665371754323381	17.9268890483042	1.21842585032332	5.00524077566653	0.286760181454589	0.922662449911308	12	9752486	9760901	Autosomal
ENSG00000111325.16	13	-0.00790663003005452	0.026905281760354	-0.293869066322333	0.768857956448089	42.9529054552306	1.75293765261826	20.5272005131218	0.0577475302406234	0.954825600956666	12	122974580	122980043	Autosomal
ENSG00000111788.10	6	0.0390684354336037	0.0839996148793545	0.465102554216662	0.64185801694989	0	1	2.92856563321505	0.710998030294427	0.915657590613829	12	9277235	9313241	Autosomal
ENSG00000112208.11	10	0.0158318634059131	0.0274567862835867	0.576610213678838	0.564202797970913	0	1	4.46258476146834	0.878420256274349	0.890725536141991	6	57172326	57189833	Autosomal
ENSG00000113205.5	2	-0.0671158772560084	0.0546584804224752	-1.22791334002053	0.219479501208172	0	1	0.0892551880205661	0.765126173646305	0.670512559314452	5	141100473	141103827	Autosomal
ENSG00000113296.14	12	0.0181346545676375	0.030521335457356	0.594163207339831	0.55240295855325	0	1	6.37672551757217	0.847083417674028	0.887785211467654	5	79991311	80083287	Autosomal
ENSG00000115257.15	9	0.0635312087429755	0.0402400642729889	1.57880485259614	0.114380825221088	45.6168642109503	1.83880533090068	14.8286222324926	0.0625647159323046	0.522674618930284	19	1481428	1490752	Autosomal
ENSG00000116032.5	2	-0.0735550356711729	0.0964321100859024	-0.762764971186978	0.445603575104309	0	1	0.353098418421662	0.55236440927987	0.838638299249977	19	1000419	1009732	Autosomal
ENSG00000116221.15	13	0.0362405676844134	0.0196076621806755	1.8482860093403	0.0645609785900396	0	1	6.08540002625528	0.91171597082633	0.416087390061919	1	54184041	54225464	Autosomal
ENSG00000116652.6	2	0.00654855276694146	0.0549000310201744	0.119281403767059	0.905052415950193	0	1	0.613207400368061	0.433582716752177	0.984214964081607	1	63547082	63550636	Autosomal
ENSG00000116885.18	13	-0.0318146048653053	0.0195188290534577	-1.62994433621874	0.103113262035235	4.35027055554951	1.045481263573	10.1446073598237	0.603275912940342	0.501201151132608	1	36415827	36450451	Autosomal
ENSG00000116903.7	13	0.0205546069595946	0.0221066802340241	0.92979166215827	0.352478964169212	28.9997676032929	1.40844609410938	15.7305690449336	0.203890463854234	0.791753402733289	1	231332753	231337852	Autosomal
ENSG00000117242.7	13	-0.00936454787992147	0.0342130289632421	-0.273712914749015	0.784305252118233	10.7502172816916	1.12045090704166	12.4669972849536	0.408939818381695	0.958713179595273	1	20642657	20652193	Autosomal
ENSG00000119616.11	13	-0.00704992345588574	0.0221602980956196	-0.318133060551171	0.750384006649214	0	1	10.4708330072532	0.574727183274971	0.950582712398753	14	74713144	74738620	Autosomal
ENSG00000120328.6	3	-0.00175279323166397	0.0651711689235533	-0.0268952246923793	0.978543302284648	0.0205908010730113	1.00020595041757	1.99699767084977	0.368432103471191	0.996404292486344	5	141208697	141212571	Autosomal
ENSG00000120333.4	11	0.0267372809947428	0.0361015025664258	0.740614076811538	0.458927470351943	36.1498402437851	1.56616679397214	15.530639038102	0.113879904032424	0.844528372155688	1	175010789	175023425	Autosomal
ENSG00000121089.4	2	0.016024375382137	0.131434755134426	0.121918859024373	0.902963279705522	13.8034995245623	1.16013990647446	1.16013990647446	0.281436526953943	0.983365034700977	4	164943290	164943937	Autosomal
ENSG00000121653.11	11	0.0238151340312927	0.0190681599617354	1.24894767398025	0.21168421297339	0	1	7.47124893607616	0.680331968588488	0.66281470329337	11	45885651	45906465	Autosomal
ENSG00000122548.5	2	-0.0482418978178356	0.0845547679531841	-0.570540242562618	0.568311335745835	0	1	0.932487774652181	0.334217311686182	0.891765311161056	7	26533121	26538788	Autosomal
ENSG00000122679.8	13	-0.0573507052477069	0.0355388113507397	-1.61374854892307	0.106581978703402	7.05176331554221	1.07586763952803	14.7093480732312	0.257717497158382	0.507380362794862	7	45157791	45186302	Autosomal
ENSG00000122733.12	12	-0.0265577286979591	0.0150134779836584	-1.76892580965358	0.0769062563879395	0.10613652665601	1.00106249295968	13.0168793110959	0.292223617428465	0.448353208402182	9	34957608	34982544	Autosomal
ENSG00000123416.15	11	-0.0131081741165423	0.0260046763703318	-0.504069880734879	0.614212271385298	8.71935760152943	1.09552252670908	8.66526652366873	0.56413802981483	0.907064609426679	12	49127782	49131397	Autosomal
ENSG00000123965.13	12	-0.000473746795250697	0.0446296624885068	-0.0106150656051387	0.991530562097553	0	1	7.85108252278125	0.726578318145033	0.997978431395346	7	74894116	74897835	Autosomal
ENSG00000124107.5	13	-0.0378317531361831	0.07407801035978	-0.51070152873225	0.609560070110554	56.4286867880496	2.29508804367578	28.2291013270688	0.00512050446841625	0.90546287186945	20	45252239	45254564	Autosomal
ENSG00000124145.6	11	0.0186037964465423	0.0339313588109292	0.548277378168246	0.583501458025458	38.311052657263	1.62103592795012	15.8731348994653	0.103322107718792	0.897405980196548	20	45325288	45348424	Autosomal
ENSG00000125787.11	2	-0.0422236132723207	0.0928212997877511	-0.454891424369955	0.649187352721027	0	1	1.88541410892904e-05	0.996535487974639	0.917444994785073	20	3043622	3045747	Autosomal
ENSG00000125814.17	9	-0.00492845700449787	0.0169264635417466	-0.291168736596547	0.770922271756983	1.73996885079313	1.01770779868929	8.0595041396181	0.42767927604301	0.955504163728842	20	23374519	23421519	Autosomal
ENSG00000125885.13	5	0.0155244983545596	0.045330894283769	0.342470595381972	0.731996769084283	21.8285790216392	1.27923989033897	5.52639570876916	0.237419000249506	0.945231843917645	20	5950652	5998977	Autosomal
ENSG00000127366.5	8	-0.0317044785826108	0.0331257106968937	-0.957095800078453	0.338518903285717	0	1	3.8569408100706	0.796099795432204	0.781937598438828	7	141790217	141791367	Autosomal
ENSG00000128059.8	11	-0.00156801164592407	0.0283431627599669	-0.0553223950059235	0.955881620850575	39.3451238381358	1.64867206608648	15.7361445375893	0.107438801359473	0.993480646932463	4	56393362	56435615	Autosomal
ENSG00000128563.13	12	-0.0359317414712211	0.0235972137215257	-1.52271119358654	0.127830976263072	9.40010212658625	1.10375400356102	11.2583037173472	0.421884111412838	0.550411139741475	7	102363872	102426676	Autosomal
ENSG00000129749.3	2	-0.0150283088833909	0.0686372661403656	-0.218952614643152	0.826686960131512	0	1	0.0984548445669327	0.753691819555375	0.968289850989186	11	3665587	3671384	Autosomal
ENSG00000130348.11	12	-0.0314020113724552	0.0259621810821332	-1.20952901734691	0.2264596699972	0	1	9.35913305707886	0.588779870336267	0.676529981838883	6	106629578	106668417	Autosomal
ENSG00000130589.16	12	0.0596025590405274	0.0352249886789084	1.69205331998348	0.0906358076868566	26.0342696502631	1.35197745668384	14.8225950300274	0.190763535501366	0.475214022364447	20	63558086	63574239	Autosomal
ENSG00000130669.17	12	-0.0111467354330365	0.0370535315671901	-0.300827882298448	0.763545745664914	35.8102884206553	1.55788205834809	16.3748587622332	0.127775003040296	0.953544385224224	19	39125770	39182816	Autosomal
ENSG00000130702.15	13	0.012261541314591	0.0243793716825567	0.502947388236592	0.615001262510181	0	1	7.55310894888414	0.819006558379918	0.907856844133762	20	62307955	62367312	Autosomal
ENSG00000130827.6	10	0.0122961600057532	0.0265607571619105	0.462944634100512	0.64340405319719	0	1	4.52401014382453	0.87367419806706	0.91622875734111	X	154458281	154477779	Sex
ENSG00000130876.11	12	0.0440274061387601	0.0287972169795066	1.52887711927482	0.12629490946092	0	1	9.33680778037359	0.590833946977108	0.548775420951653	19	33208664	33225850	Autosomal
ENSG00000130997.16	11	0.0160205776844004	0.0374726786918594	0.427526887419467	0.668995605624169	34.9450008735901	1.53716088452615	13.9721486549516	0.174265789059468	0.923925853990528	4	2071918	2242121	Autosomal
ENSG00000131381.12	11	-0.0285558330186197	0.0216465357381361	-1.31918720686152	0.187106534148256	0	1	8.06782241908832	0.622212126278055	0.635272685486664	3	15070073	15099163	Autosomal
ENSG00000131931.8	12	-0.00323532961783945	0.0311302806961002	-0.103928700464457	0.917225930755402	41.5107203405467	1.70971502097885	18.8135342921916	0.0645238552138114	0.987037399486597	8	42836674	42843325	Autosomal
ENSG00000132475.10	13	0.0350447521666434	0.035279614056573	0.993342844126555	0.320542905035334	59.5414702963327	2.47166668518198	30.6034526383225	0.00226351437392883	0.76720080469887	17	75776434	75785893	Autosomal
ENSG00000133561.15	11	-0.0335596108047799	0.0339051801417559	-0.989807771687656	0.322268085451405	5.69329328972356	1.06036997249002	11.3679083608835	0.329581859855236	0.768607186960068	7	150625375	150632648	Autosomal
ENSG00000134222.16	11	-0.00701027740541854	0.0345283811693594	-0.203029425881091	0.839112032636388	37.9839531259064	1.61248588132395	15.1237639093082	0.127614376403753	0.970268059749772	1	109279556	109283186	Autosomal
ENSG00000134419.15	10	-0.004454136614577	0.0302057703215865	-0.147459792190563	0.88276911392205	0	1	6.27667207858373	0.711940152330476	0.978806179047825	16	18781295	18790383	Autosomal
ENSG00000134533.6	11	-0.0524822080620761	0.0303321281785442	-1.73025142690779	0.0835853637453353	19.8544273030737	1.24772955804002	10.8395413724499	0.370155193377551	0.462318012414394	12	15107783	15348675	Autosomal
ENSG00000134954.14	11	-0.0548056325162164	0.0320787409510277	-1.70847205630309	0.0875487870738788	0	1	4.69621222281511	0.910526059783694	0.471655087214371	11	128458761	128587558	Autosomal
ENSG00000135052.16	11	0.003938750426864	0.0282916896611439	0.139219342288825	0.88927682440805	17.8796743116742	1.2177253214939	11.6709800147421	0.307679881278586	0.980003077340566	9	86026146	86100173	Autosomal
ENSG00000135116.9	6	0.0697428526506829	0.0326879512256887	2.13359510264668	0.0328759392245095	0	1	3.14297446167967	0.67795420719748	0.3005629271444	12	116856144	116881441	Autosomal
ENSG00000135828.11	12	-0.0353013055271928	0.0329933540694209	-1.06995201072664	0.284640910191982	38.9199151608294	1.63719484449488	17.3054854421294	0.0991585543482853	0.740432126402411	1	182573634	182589256	Autosomal
ENSG00000136099.13	11	-0.0253077796617825	0.0182639818995377	-1.38566605031639	0.165848899367885	0	1	6.6230185876861	0.760490236230638	0.606817568843843	13	52842889	52848641	Autosomal
ENSG00000136149.6	12	0.0648043971497008	0.058983150712473	1.0986933788194	0.271901831587258	43.1889702863889	1.76022157148194	19.1552063120653	0.0583637716499474	0.728179694185192	13	54440704	54441315	Autosomal
ENSG00000136819.15	10	-0.0541021080111033	0.0267678969742749	-2.02115646451785	0.0432635707935488	0	1	6.67307522836539	0.671114441447545	0.346077465183111	9	129827290	129835863	Autosomal
ENSG00000136950.13	12	-0.0338630782679098	0.0186119937365774	-1.81942239757797	0.0688470122156509	16.3387067692025	1.1952958905874	14.4312321655734	0.210043014413534	0.428915384298938	9	124862130	124877733	Autosomal
ENSG00000137218.10	13	-0.0290864702086528	0.0220405598306258	-1.31967928365578	0.186942119529473	0	1	10.8137489166896	0.544944355344096	0.635272685486664	6	41770176	41786542	Autosomal
ENSG00000137221.14	12	-0.00456053439746969	0.0191467534039802	-0.238188391590277	0.81173498023051	5.46906718533796	1.05785478914146	10.4665321381306	0.488973496467205	0.964013646475487	6	43477523	43506556	Autosomal
ENSG00000137507.11	13	0.0146356432554992	0.0279243111278304	0.524118327879278	0.60019624167835	16.1341133297354	1.19237992907855	14.8569433151597	0.249353239163388	0.901971939633962	11	76657524	76670747	Autosomal
ENSG00000137875.4	7	0.0465480235578456	0.0325702079308191	1.42915954533407	0.15295838219534	0	1	3.08873097478365	0.797630622673136	0.590831071474026	15	52109263	52112775	Autosomal
ENSG00000137970.7	12	0.022806742698306	0.0458691318571645	0.49721330609277	0.619038639157234	40.9504760606233	1.69349375454178	17.7767456672549	0.0869075695799521	0.90917332471882	1	96678874	96679620	Autosomal
ENSG00000138036.18	13	0.0415365097336028	0.0280433919164147	1.48115141910812	0.138566228486379	52.2074554446396	2.09237656061952	24.6648862154816	0.0164931826065284	0.566390521345265	2	43774039	43810010	Autosomal
ENSG00000138111.14	13	-0.0199711817646045	0.0230295486197499	-0.867198141585694	0.385833454353672	0.0135974407747774	1.0001359928993	13.5636356936715	0.32943664289105	0.809739913860866	10	102461395	102477045	Autosomal
ENSG00000138802.11	11	-0.0270972651968916	0.0274920215672821	-0.985641057009051	0.324309283162374	50.4179196943068	2.01685769099361	20.1165222673504	0.0281696480135741	0.770297159199499	4	109433772	109540896	Autosomal
ENSG00000139160.13	13	-0.0266377708396443	0.0319995240389101	-0.832442720312149	0.405159097022873	37.8990349863286	1.61028093489345	19.0439966889399	0.0874721988013305	0.818703637049079	12	31647160	31673114	Autosomal
ENSG00000139239.7	11	0.050567641871599	0.0362162656346864	1.39626880313048	0.162633564527438	0	1	7.22435252595389	0.704108518138056	0.603785869463502	12	62965325	62965969	Autosomal
ENSG00000139714.12	8	0.0183065628104589	0.026324221282073	0.695426566062405	0.486788016657684	0	1	4.41202097259586	0.731283891072948	0.859062861405686	12	121648742	121672631	Autosomal
ENSG00000139971.15	11	-0.00716161675949312	0.0365660124312599	-0.195854463840053	0.84472407950764	49.9425138092423	1.99770319306333	19.9508101536456	0.0297213892301516	0.971156568319741	14	57999735	58298139	Autosomal
ENSG00000140350.15	10	0.013151408059584	0.0225076347297744	0.58430875644994	0.55901260196017	9.92289278170702	1.11015998501883	7.59317110243812	0.575605943128699	0.889901198342285	15	68778535	68820897	Autosomal
ENSG00000140497.16	12	0.00789629039142579	0.0315422546622541	0.250340074797351	0.802324367655603	34.2753639104527	1.52149948557728	16.0387310420165	0.139699084281544	0.963020458583743	15	74843730	74873365	Autosomal
ENSG00000140876.11	13	0.060173029285856	0.0367229721773014	1.63856642635939	0.10130358928494	34.4328489255486	1.52515395836629	18.3310236813023	0.106002939388985	0.497546329931907	16	77722492	77742260	Autosomal
ENSG00000141933.9	12	0.0321411571181642	0.0345226001349744	0.931017854753136	0.351844328345836	28.2085704379511	1.39292392713215	16.269538491268	0.131415666194562	0.79141222010463	19	507497	519654	Autosomal
ENSG00000141985.9	12	0.0414819794867874	0.0236396234941746	1.75476481243492	0.0792995447137501	0	1	7.58600771153375	0.749838236238581	0.454199005218241	19	4360370	4400547	Autosomal
ENSG00000142494.13	9	-0.024753128094238	0.0344072309605961	-0.719416454133896	0.47188436168805	0	1	5.52954174361855	0.699764864761478	0.850438308741323	17	19495385	19579034	Autosomal
ENSG00000143314.12	11	0.0433725369021077	0.0266536768356603	1.62726280391	0.103681294183006	1.12376797416287	1.01136540047227	10.6417444560504	0.386101694539773	0.501914844034261	1	156737303	156741590	Autosomal
ENSG00000144401.14	11	-0.0107941487236222	0.0284618603026026	-0.379249585545718	0.704502533000448	0	1	4.89618570153324	0.898004066192432	0.934199053901327	2	207580631	207625928	Autosomal
ENSG00000144792.9	7	0.087408164370385	0.0466993168213962	1.87172255013241	0.0612449981030092	0	1	2.78332338596286	0.835509195245192	0.406645633369432	3	44578223	44599694	Autosomal
ENSG00000144802.11	12	0.0197902644611062	0.0286737631444197	0.6901872056845	0.490076468165312	14.5548817418384	1.17034187603161	12.1260070717591	0.354246624952237	0.861031586224233	3	101827991	101861022	Autosomal
ENSG00000145358.6	10	-0.0112372477816739	0.0423668704429436	-0.265236673471253	0.790827144945894	44.4085763099895	1.79883862225981	15.2685093883794	0.0838196396794312	0.960357281744459	4	100185870	100190782	Autosomal
ENSG00000145536.15	2	-0.18197510976045	0.0999962927445519	-1.81981856292732	0.068786639879495	23.2491401307712	1.30291699885036	1.30291699885036	0.253681086912303	0.428672850520843	5	5140330	5320304	Autosomal
ENSG00000145996.11	13	0.00418027391444414	0.0314379102656076	0.132969204349987	0.89421773556012	29.3733522101348	1.41589616850468	17.1427282442322	0.144306773698058	0.981471293523889	6	20534457	21232404	Autosomal
ENSG00000146072.6	12	0.0055325890706683	0.0331841452657434	0.166723868472806	0.867587324068039	59.231857914929	2.45289568976015	27.3662216361508	0.00404431190402302	0.976420338385526	6	47231532	47309905	Autosomal
ENSG00000146677.7	13	-0.0230178656526079	0.0380923647551016	-0.604264550142564	0.54566777103454	0	1	6.06429375908318	0.912806382272977	0.884337021735704	7	44467897	44468304	Autosomal
ENSG00000146856.14	2	-0.255159237432725	0.0779177716814238	-3.27472451953547	0.00105765056591726	0	1	0.0693118485008451	0.792341374824904	0.0381670579671803	7	134986508	135147963	Autosomal
