query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.0225607355910559	136	407	10	0.0245700245700246	0.0735294117647059	GO:0072562	GO:CC	blood microparticle	22097	2814	c("GO:0005615", "GO:0110165")
query_1	TRUE	0.0234000191110687	6	384	3	0.0078125	0.5	GO:0003166	GO:BP	bundle of His development	21031	1605	c("GO:0003164", "GO:0003229")
query_1	TRUE	0.025894254734664	30	384	5	0.0130208333333333	0.166666666666667	GO:0051156	GO:BP	glucose 6-phosphate metabolic process	21031	13980	c("GO:0006796", "GO:0019637", "GO:1901135")
query_1	TRUE	0.025894254734664	1663	384	51	0.1328125	0.0306674684305472	GO:1901700	GO:BP	response to oxygen-containing compound	21031	22187	GO:0042221
query_1	TRUE	0.025894254734664	65	384	7	0.0182291666666667	0.107692307692308	GO:0051145	GO:BP	smooth muscle cell differentiation	21031	13969	GO:0042692
query_1	TRUE	0.025894254734664	7	384	3	0.0078125	0.428571428571429	GO:1903598	GO:BP	positive regulation of gap junction assembly	21031	23729	c("GO:0016264", "GO:1901890", "GO:1903596")
query_1	TRUE	0.025894254734664	7	384	3	0.0078125	0.428571428571429	GO:0042938	GO:BP	dipeptide transport	21031	10800	GO:0006857
query_1	TRUE	0.025894254734664	429	384	20	0.0520833333333333	0.0466200466200466	GO:0043434	GO:BP	response to peptide hormone	21031	11046	c("GO:0009725", "GO:1901652")
query_1	TRUE	0.025894254734664	2684	384	74	0.192708333333333	0.0275707898658718	GO:0009653	GO:BP	anatomical structure morphogenesis	21031	3608	c("GO:0032502", "GO:0048856")
query_1	TRUE	0.025894254734664	2010	384	59	0.153645833333333	0.0293532338308458	GO:0009888	GO:BP	tissue development	21031	3786	GO:0048856
query_1	TRUE	0.025894254734664	371	384	18	0.046875	0.0485175202156334	GO:0006066	GO:BP	alcohol metabolic process	21031	1952	c("GO:0044281", "GO:1901615")
query_1	TRUE	0.025894254734664	4643	384	115	0.299479166666667	0.0247684686625027	GO:0007275	GO:BP	multicellular organism development	21031	2835	c("GO:0032501", "GO:0048856")
query_1	TRUE	0.025894254734664	7	384	3	0.0078125	0.428571428571429	GO:0035442	GO:BP	dipeptide transmembrane transport	21031	9346	c("GO:0035672", "GO:0042938")
query_1	TRUE	0.025894254734664	872	384	32	0.0833333333333333	0.036697247706422	GO:0035239	GO:BP	tube morphogenesis	21031	9225	c("GO:0009653", "GO:0035295")
query_1	TRUE	0.025894254734664	7	384	3	0.0078125	0.428571428571429	GO:0003164	GO:BP	His-Purkinje system development	21031	1603	c("GO:0003161", "GO:0003229")
query_1	TRUE	0.025894254734664	3957	384	101	0.263020833333333	0.0255243871619914	GO:0042221	GO:BP	response to chemical	21031	10394	GO:0050896
query_1	TRUE	0.0293271832919981	1637	384	50	0.130208333333333	0.030543677458766	GO:0051240	GO:BP	positive regulation of multicellular organismal process	21031	14038	c("GO:0032501", "GO:0048518", "GO:0051239")
query_1	TRUE	0.0295906810701882	3039	384	81	0.2109375	0.0266535044422507	GO:0048513	GO:BP	animal organ development	21031	13223	GO:0048856
query_1	TRUE	0.0301106492803027	629	384	25	0.0651041666666667	0.0397456279809221	GO:0032787	GO:BP	monocarboxylic acid metabolic process	21031	8101	GO:0019752
query_1	TRUE	0.0314520288839359	13	233	4	0.0171673819742489	0.307692307692308	REAC:R-HSA-1480926	REAC	O2/CO2 exchange in erythrocytes	10842	1585	REAC:R-HSA-382551
query_1	TRUE	0.0314520288839359	13	233	4	0.0171673819742489	0.307692307692308	REAC:R-HSA-1237044	REAC	Erythrocytes take up carbon dioxide and release oxygen	10842	825	REAC:R-HSA-1480926
query_1	TRUE	0.0320124248311758	7394	384	168	0.4375	0.0227211252366784	GO:0051716	GO:BP	cellular response to stimulus	21031	14364	c("GO:0009987", "GO:0050896")
query_1	TRUE	0.034650479502624	8	384	3	0.0078125	0.375	GO:0072048	GO:BP	renal system pattern specification	21031	17595	c("GO:0007389", "GO:0072001")
query_1	TRUE	0.034650479502624	946	384	33	0.0859375	0.0348837209302326	GO:0098609	GO:BP	cell-cell adhesion	21031	19347	GO:0007155
query_1	TRUE	0.034650479502624	8	384	3	0.0078125	0.375	GO:0061004	GO:BP	pattern specification involved in kidney development	21031	15607	c("GO:0001822", "GO:0007389", "GO:0072048")
query_1	TRUE	0.0349502861217957	2	384	2	0.00520833333333333	1	GO:0072105	GO:BP	ureteric peristalsis	21031	17649	c("GO:0014849", "GO:0030432")
query_1	TRUE	0.0349502861217957	2	384	2	0.00520833333333333	1	GO:0014849	GO:BP	ureter smooth muscle contraction	21031	4785	c("GO:0014821", "GO:0014848")
query_1	TRUE	0.0361759358396909	4902	420	141	0.335714285714286	0.0287637698898409	TF:M11528_1	TF	Factor: E2F-2; motif: NTTTTGGCGCCAWWWN; match class: 1	20045	1497	TF:M11528
query_1	TRUE	0.0415945775254086	364	384	17	0.0442708333333333	0.0467032967032967	GO:1901653	GO:BP	cellular response to peptide	21031	22153	c("GO:0071417", "GO:1901652", "GO:1901701")
query_1	TRUE	0.0415945775254086	432	384	19	0.0494791666666667	0.0439814814814815	GO:0009410	GO:BP	response to xenobiotic stimulus	21031	3512	GO:0042221
query_1	TRUE	0.0415945775254086	20	384	4	0.0104166666666667	0.2	GO:0072079	GO:BP	nephron tubule formation	21031	17626	c("GO:0001838", "GO:0072078")
query_1	TRUE	0.0438544502545872	215	233	14	0.0600858369098712	0.0651162790697674	REAC:R-HSA-211859	REAC	Biological oxidations	10842	220	REAC:R-HSA-1430728
query_1	TRUE	0.0453071355470188	2637	384	71	0.184895833333333	0.0269245354569587	GO:0010033	GO:BP	response to organic substance	21031	3883	GO:0042221
query_1	TRUE	0.0453071355470188	9	384	3	0.0078125	0.333333333333333	GO:0060174	GO:BP	limb bud formation	21031	14876	c("GO:0035108", "GO:0048646")
query_1	TRUE	0.0469905491053512	1179	384	38	0.0989583333333333	0.0322307039864292	GO:1901701	GO:BP	cellular response to oxygen-containing compound	21031	22188	c("GO:0070887", "GO:1901700")
query_1	TRUE	0.0490168076123712	3	118	3	0.0254237288135593	1	HP:0005511	HP	Heinz body anemia	4958	3722	HP:0001878
